rule,type,coef,support,importance
gdpuls > -81.5 & gdenergy <= 91.5 & gdenergy > -85.0 & gdenergy > 35.0 & gdpuls > 66.5 & gdpuls <= 101.0,rule,0.23319417860486416,0.046875,0.049290505885955696
gdenergy <= 4.0 & gdenergy <= 94.5 & gdpuls <= -81.5,rule,0.0,0.046875,0.0
gdenergy <= 110.5 & gdpuls > 99.5 & gdenergy > -85.5,rule,-0.5398645596787355,0.0078125,0.04753097348962244
gdenergy > -83.5 & gdpuls > 78.5,rule,0.0,0.08203125,0.0
gdpuls > -80.5 & gdenergy > -87.0,rule,-0.004620086808917274,0.94921875,0.0010143433432306132
gdpuls > -89.0 & gdenergy <= 107.0 & gdenergy <= -83.5 & gdpuls <= 91.5,rule,0.0,0.0234375,0.0
gdenergy > 58.0 & gdpuls > -90.5 & gdenergy > 84.0 & gdpuls <= 10.0,rule,-0.03174540135787715,0.01171875,0.0034163451838061165
gdenergy > 88.0 & gdenergy > 101.5,rule,0.0,0.04296875,0.0
gdpuls > -91.0 & gdenergy > -93.5 & gdenergy <= 64.5,rule,0.016007773053664142,0.85546875,0.005628774790424039
gdenergy <= 68.0 & gdpuls > 89.5,rule,0.31465017849772525,0.015625,0.039022786982206126
gdenergy <= 72.5 & gdenergy > -76.5,rule,0.005854848999964807,0.859375,0.0020353463576115263
gdenergy > 71.0 & gdpuls <= 5.5,rule,0.0,0.015625,0.0
gdenergy <= -59.5 & gdenergy <= -19.0 & gdenergy <= -84.5 & gdpuls <= -81.5,rule,-0.2026857771638706,0.02734375,0.03305460736062722
gdpuls > 10.0 & gdenergy > 95.5 & gdenergy > -83.0 & gdenergy <= 105.5,rule,0.500112216461606,0.0078125,0.04403108164132599
gdpuls <= -67.5 & gdenergy > 20.5,rule,-2.726802444310022,0.0078125,0.24007424152655
gdenergy <= 99.5 & gdpuls > -75.5 & gdpuls <= 93.0,rule,0.08439472664901637,0.8671875,0.028641205364401717
gdpuls > 66.5 & gdenergy > 32.5 & gdpuls > 96.0,rule,0.0,0.0390625,0.0
gdenergy <= -83.0 & gdpuls <= -75.0 & gdenergy <= 95.0,rule,0.0,0.03515625,0.0
gdenergy > 110.5 & gdenergy > -85.5,rule,-0.49171917724802466,0.03515625,0.09056218919066983
gdenergy <= 100.0 & gdpuls <= 99.0 & gdenergy > -93.0 & gdpuls > -85.5 & gdpuls > 89.5,rule,0.25614408348175355,0.01171875,0.02756546046144675
