gdenergy_max,gdenergy_min,gdpuls_max,gdpuls_min,size_rules,n_inliers_included,n_outliers_included,n_inliers,n_inliers_p0,n_inliers_p1,n_outliers_p1,n_outliers_p0,n_outliers
inf,-93.5,66.5,-91.5,3,586,34,614,614,156,69,69,69
99.5,-80.5,inf,-88.5,3,590,21,614,614,156,69,69,69
99.5,-83.0,inf,-inf,2,603,26,614,614,156,69,69,69
inf,-87.5,83.5,-91.5,3,597,28,614,614,156,69,69,69
100.5,-83.5,inf,-inf,2,604,26,614,614,156,69,69,69
inf,-inf,89.5,-81.5,2,598,24,614,614,156,69,69,69
inf,-inf,81.5,-81.5,2,590,22,614,614,156,69,69,69
112.5,-inf,92.0,-81.5,3,601,18,614,614,156,69,69,69
88.5,-85.5,inf,-85.5,3,596,18,614,614,156,69,69,69
inf,-80.5,99.5,-inf,2,594,30,614,614,156,69,69,69
inf,-inf,81.5,-91.0,2,598,39,614,614,156,69,69,69
inf,-inf,66.0,-inf,1,587,41,614,614,156,69,69,69
inf,-inf,58.5,-inf,1,581,40,614,614,156,69,69,69
inf,-86.5,inf,-75.5,2,579,45,614,614,156,69,69,69
154.5,-87.5,86.5,-81.5,5,590,15,614,614,156,69,69,69
inf,-inf,54.5,-inf,1,578,39,614,614,156,69,69,69
87.5,-86.0,inf,-inf,2,599,24,614,614,156,69,69,69
inf,-76.5,inf,-90.5,2,582,45,614,614,156,69,69,69
94.5,-inf,117.0,-81.5,3,596,18,614,614,156,69,69,69
110.5,-80.5,101.0,-inf,3,594,20,614,614,156,69,69,69
inf,-inf,90.5,-81.5,2,599,26,614,614,156,69,69,69
88.0,-86.0,inf,-inf,2,600,24,614,614,156,69,69,69
106.0,-86.5,114.0,-81.5,4,602,18,614,614,156,69,69,69
89.0,-87.5,inf,-85.5,3,598,22,614,614,156,69,69,69
95.5,-inf,101.0,-81.5,3,598,17,614,614,156,69,69,69
inf,-87.5,66.5,-inf,2,585,30,614,614,156,69,69,69
100.5,-80.0,inf,-inf,2,593,24,614,614,156,69,69,69
88.5,-80.5,inf,-inf,2,583,19,614,614,156,69,69,69
112.5,-inf,83.5,-85.5,3,597,25,614,614,156,69,69,69
113.0,-91.0,81.5,-81.5,5,590,14,614,614,156,69,69,69
95.5,-86.0,93.0,-inf,3,600,20,614,614,156,69,69,69
99.5,-86.0,94.5,-81.5,5,597,14,614,614,156,69,69,69
89.0,-87.5,inf,-81.5,3,592,16,614,614,156,69,69,69
inf,-inf,56.0,-inf,1,578,40,614,614,156,69,69,69
inf,-83.5,78.5,-inf,2,590,24,614,614,156,69,69,69
69.5,-inf,101.0,-inf,2,581,34,614,614,156,69,69,69
inf,-inf,86.5,-81.5,2,592,23,614,614,156,69,69,69
88.5,-inf,inf,-81.5,2,594,19,614,614,156,69,69,69
inf,-84.5,85.0,-inf,2,593,26,614,614,156,69,69,69
94.5,-inf,inf,-81.5,2,596,21,614,614,156,69,69,69
inf,-84.0,87.5,-75.5,3,563,19,614,614,156,69,69,69
88.0,-inf,83.5,-inf,2,591,31,614,614,156,69,69,69
58.0,-inf,inf,-90.5,2,562,31,614,614,156,69,69,69
95.5,-91.0,95.5,-77.5,4,582,13,614,614,156,69,69,69
94.5,-inf,89.5,-81.5,3,589,13,614,614,156,69,69,69
59.5,-inf,inf,-inf,1,564,35,614,614,156,69,69,69
72.5,-87.5,101.0,-inf,3,580,23,614,614,156,69,69,69
72.5,-inf,66.5,-inf,2,566,28,614,614,156,69,69,69
inf,-85.5,66.5,-inf,2,583,25,614,614,156,69,69,69
93.5,-86.5,99.0,-81.5,5,592,12,614,614,156,69,69,69
inf,-76.5,93.0,-83.5,3,572,24,614,614,156,69,69,69
inf,-inf,83.5,-81.5,2,591,22,614,614,156,69,69,69
59.0,-inf,inf,-inf,1,564,35,614,614,156,69,69,69
99.5,-inf,93.0,-75.5,3,576,14,614,614,156,69,69,69
70.0,-inf,101.0,-86.0,4,578,25,614,614,156,69,69,69
inf,-inf,54.0,-83.0,2,571,25,614,614,156,69,69,69
100.0,-86.5,83.0,-82.5,4,589,12,614,614,156,69,69,69
72.5,-inf,inf,-81.5,2,573,17,614,614,156,69,69,69
inf,-67.5,inf,-inf,2,528,45,614,614,156,69,69,69
72.5,-inf,91.0,-83.5,3,571,18,614,614,156,69,69,69
64.5,-inf,66.5,-inf,2,561,28,614,614,156,69,69,69
72.5,-76.5,inf,-inf,2,551,16,614,614,156,69,69,69
inf,-inf,88.5,-77.0,2,581,22,614,614,156,69,69,69
106.0,-91.0,93.0,-81.5,4,601,17,614,614,156,69,69,69
54.5,-inf,inf,-83.0,2,551,19,614,614,156,69,69,69
inf,-67.5,inf,-81.5,3,520,43,614,614,156,69,69,69
94.5,-76.5,99.5,-82.5,5,567,12,614,614,156,69,69,69
105.0,-inf,78.0,-81.5,3,590,15,614,614,156,69,69,69
71.0,-86.5,inf,-86.0,3,575,17,614,614,156,69,69,69
inf,-inf,35.5,-inf,1,545,36,614,614,156,69,69,69
89.5,-86.5,87.5,-89.0,4,588,13,614,614,156,69,69,69
72.5,-84.5,81.5,-inf,3,565,12,614,614,156,69,69,69
64.5,-93.5,inf,-91.0,3,573,29,614,614,156,69,69,69
56.5,-inf,inf,-inf,1,562,34,614,614,156,69,69,69
88.0,-80.5,inf,-inf,2,583,19,614,614,156,69,69,69
56.0,-inf,inf,-inf,1,562,34,614,614,156,69,69,69
42.5,-inf,inf,-inf,1,539,32,614,614,156,69,69,69
inf,-inf,inf,-67.5,2,537,43,614,614,156,69,69,69
94.5,-inf,inf,-77.5,3,581,19,614,614,156,69,69,69
54.5,-inf,66.5,-inf,2,549,26,614,614,156,69,69,69
54.5,-inf,inf,-inf,1,558,33,614,614,156,69,69,69
95.5,-80.5,89.5,-inf,6,580,14,614,614,156,69,69,69
54.5,-inf,89.0,-91.5,3,555,26,614,614,156,69,69,69
71.0,-inf,inf,-81.5,2,572,17,614,614,156,69,69,69
54.5,-87.5,inf,-inf,2,556,22,614,614,156,69,69,69
94.5,-76.5,67.0,-81.0,6,542,6,614,614,156,69,69,69
53.5,-inf,inf,-inf,1,555,33,614,614,156,69,69,69
95.5,-80.5,96.0,-92.5,5,586,15,614,614,156,69,69,69
54.5,-87.5,83.5,-inf,3,552,16,614,614,156,69,69,69
54.5,-85.5,89.5,-inf,3,552,13,614,614,156,69,69,69
inf,-86.0,35.5,-91.0,3,541,18,614,614,156,69,69,69
inf,-67.5,96.0,-inf,2,527,25,614,614,156,69,69,69
52.5,-inf,inf,-81.5,2,546,13,614,614,156,69,69,69
59.5,-87.5,96.0,-inf,4,562,21,614,614,156,69,69,69
inf,-86.5,58.5,-inf,2,578,25,614,614,156,69,69,69
99.5,-91.0,66.5,-77.5,4,562,10,614,614,156,69,69,69
94.0,-inf,inf,-67.5,3,528,15,614,614,156,69,69,69
54.5,-86.5,92.0,-inf,3,554,15,614,614,156,69,69,69
53.0,-inf,inf,-81.5,2,546,13,614,614,156,69,69,69
inf,-67.5,inf,-86.5,2,525,44,614,614,156,69,69,69
inf,-87.0,32.5,-81.5,3,528,11,614,614,156,69,69,69
54.5,-inf,83.0,-81.0,3,545,7,614,614,156,69,69,69
inf,-inf,79.5,-67.5,2,522,16,614,614,156,69,69,69
67.5,-83.5,66.5,-83.5,4,548,5,614,614,156,69,69,69
54.5,-inf,92.0,-81.5,3,548,10,614,614,156,69,69,69
31.5,-inf,inf,-inf,1,514,30,614,614,156,69,69,69
91.0,-86.0,29.0,-inf,3,525,14,614,614,156,69,69,69
52.0,-87.5,66.5,-85.5,4,542,8,614,614,156,69,69,69
inf,-91.0,35.5,-77.5,4,521,13,614,614,156,69,69,69
54.5,-inf,32.5,-91.0,3,515,22,614,614,156,69,69,69
53.5,-83.5,62.5,-81.5,4,527,2,614,614,156,69,69,69
25.0,-inf,inf,-91.0,2,496,26,614,614,156,69,69,69
53.5,-83.0,89.5,-84.5,5,537,7,614,614,156,69,69,69
17.5,-inf,inf,-91.0,2,483,25,614,614,156,69,69,69
17.0,-inf,inf,-inf,1,484,28,614,614,156,69,69,69
56.5,-76.5,inf,-inf,2,531,13,614,614,156,69,69,69
42.5,-76.5,inf,-inf,2,508,11,614,614,156,69,69,69
14.5,-inf,inf,-inf,1,474,27,614,614,156,69,69,69
14.5,-93.0,89.5,-85.5,6,471,15,614,614,156,69,69,69
67.0,-84.5,13.5,-88.5,6,469,6,614,614,156,69,69,69
17.5,-85.5,inf,-inf,2,480,12,614,614,156,69,69,69
inf,17.5,inf,-48.5,3,121,36,614,614,156,69,69,69
inf,14.5,inf,-31.5,4,121,34,614,614,156,69,69,69
